60,Wahlen in den Grossen Gemeinderat Wetzikon (neues Parlament),2014-03-30,https://www.smartvote.ch/14_wetzikon_leg/election/index
61,Grossratswahlen (Kreiswahlen) Graubünden,2014-05-18,https://www.smartvote.ch/14_gr_leg/election/index
62,Regierungsratswahlen Graubünden,2014-05-18,https://www.smartvote.ch/14_gr_exe/election/index
63,Landratswahlen Kanton Glarus,2014-06-01,https://www.smartvote.ch/14_gl_leg/election/index
66,Regierungsratswahlen Kanton Zug ,2014-10-05,https://www.smartvote.ch/14_zg_exe/election/index
70,Kantonsratswahlen Zug,2014-10-05,https://www.smartvote.ch/14_zg_leg/election/index
71,Stadtratswahlen Thun,2014-11-30,https://www.smartvote.ch/14_th_leg/election/index
75,Gemeinderatswahlen Thun (neue Kandidierende),2014-11-30,https://www.smartvote.ch/14_th_exe/election/index
76,Landratswahlen Basel-Landschaft 2015,2015-02-08,https://www.smartvote.ch/bl_leg_15/election/index
77,Regierungsratswahlen Basel-Landschaft 2015,2015-02-08,https://www.smartvote.ch/bl_exe_15/election/index
78,Kantonsratswahlen Luzern 2015,2015-03-29,https://www.smartvote.ch/15_lu_leg/election/index
79,Regierungsratswahlen Luzern 2015,2015-03-29,https://www.smartvote.ch/15_lu_exe/election/index
80,Kantonsratswahlen Zürich 2015,2015-04-12,https://www.smartvote.ch/15_zh_leg/election/index
81,Regierungsratswahlen Zürich 2015,2015-04-12,https://www.smartvote.ch/15_zh_exe/election/index
82,Elezioni al Consiglio di Stato ticinese,2015-04-19,https://www.smartvote.ch/15_ti_exe/election/index
83,Elezioni al Gran Consiglio ticinese,2015-04-19,https://www.smartvote.ch/15_ti_leg/election/index
84,Election du Conseil municipal en Ville de Genève,2015-04-19,https://www.smartvote.ch/15_ge_leg/election/index
85,Election du Conseil administratif en Ville de Genève,2015-04-19,https://www.smartvote.ch/15_ge_exe/election/index
86,2. Wahlgang Regierungsrat Luzern ,2015-05-10,https://www.smartvote.ch/15_lu_exe2/election/index
87,Wahlen HES-SO: Studierende,2015-05-28,https://www.smartvote.ch/hes_so_cc/election/index
88,2ème tour élection du Conseil administratif en Ville de Genève,2015-05-10,https://www.smartvote.ch/15_ge_exe2/election/index
89,Wahlen HES-SO: Lehr- und Forschungskörper,2015-05-28,https://www.smartvote.ch/hes_so_en/election/index
90,Wahlen HES-SO: Verwaltungs- und technisches Personal,2015-05-28,https://www.smartvote.ch/hes_so_pat/election/index
91,Wahlen HES-SO: Mittelbau,2015-05-28,https://www.smartvote.ch/hes_so_inter/election/index
94,Elections to the Council of States,2015-10-18,https://www.smartvote.ch/15_ch_sr/election/index
95,Elections to the National Council,2015-10-18,https://www.smartvote.ch/15_ch_nr/election/index
96,Elections au Parlement jurassien,2015-10-18,https://www.smartvote.ch/15_ju_leg/election/index
97,Elections au Gouvernement jurassien,2015-10-18,https://www.smartvote.ch/15_ju_exe/election/index
98,Elections to the Council of States 2.d ballot,2015-11-22,https://www.smartvote.ch/15_ch_sr2/election/index
99,Elections au Gouvernement jurassien 2. tour,2015-11-08,https://www.smartvote.ch/15_ju_exe2/election/index
100,Kantonsratswahlen St. Gallen,2016-02-28,https://www.smartvote.ch/16_sg_leg/election/index
101,Regierungsratswahlen St. Gallen,2016-02-28,https://www.smartvote.ch/16_sg_exe/election/index
102,Landratswahlen Uri,2016-02-28,https://www.smartvote.ch/16_ur_leg/election/index
103,Regierungsratswahlen Uri,2016-02-28,https://www.smartvote.ch/16_ur_exe/election/index
104,Regierungsratswahlen Thurgau,2016-02-28,https://www.smartvote.ch/16_tg_exe/election/index
